Location,Regression_Type,Accuracy,MAPE,MSE,RMSE
Country,Stepwise Regression,0.972,0.554,0.002,0.047
,Linear Regression,0.972,0.58,0.002,0.047
North Region,Stepwise Regression,0.689,2.031,0.019,0.138
,Linear Regression,0.74,1.718,0.016,0.128
South Region,Stepwise Regression,0.744,1.658,0.013,0.115
,Linear Regression,0.757,1.403,0.013,0.112
North Store1,Stepwise Regression,0.51,2.817,0.036,0.191
,Linear Regression,0.628,2.383,0.03,0.173
North Store2,Stepwise Regression,0.642,2.667,0.022,0.149
,Linear Regression,0.685,2.686,0.02,0.142
South Store1,Stepwise Regression,0.617,2.096,0.017,0.13
,Linear Regression,0.664,2.069,0.015,0.123
South Store2,Stepwise Regression,0.504,1.964,0.02,0.142
,Linear Regression,0.547,1.67,0.019,0.138
South Store3,Stepwise Regression,0.625,1.91,0.022,0.147
,Linear Regression,0.648,1.421,0.021,0.143
