"","b"
"1",0.102899481882351
"2",0.000172641349800634
"3",0.0294768276285148
"4",-0.00408398010856478
"5",0.0475914672998259
"6",0.0641574720212522
"7",0.116308785209249
"8",0.0203581571769269
"9",0.0852596545649759
"10",0.129159837196905
"11",0.0754580345384321
"12",0.0228501412401478
"13",0.0682092033588955
"14",0.0578535360260105
"15",0.0538798992173589
"16",0.203542074027036
"17",0.0825200941179496
"18",0.0746877301917744
"19",0.0526501390613299
"20",0.0651820194287372
"21",0.103484311421934
"22",0.104778536579608
"23",0.0136027900400635
"24",0.0445339845260897
"25",0.0562374226134158
"26",0.0450821462548794
"27",0.0510971415551441
"28",0.0347890430243374
"29",0.0899326254893762
"30",0.0637883898645062
"31",0.0703416254184095
"32",0.0774756000055288
"33",0.149010026409529
"34",0.149205091662968
"35",0.0441715115629673
"36",0.0380273006105665
"37",0.029394312968627
"38",0.0355176620811325
"39",0.0278335170457874
"40",0.0620225652400539
"41",0.0301328673086462
"42",0.0714794468461061
"43",0.0732666917804286
"44",0.0867505066883674
"45",0.0707526626616138
"46",0.0808684586322399
"47",0.0308801559515568
"48",0.0499984200628109
"49",0.020845117738588
"50",0.0508510722611903
"51",0.0420302013205657
"52",0.0376473521321354
"53",0.0573623536562376
"54",0.0724543237421276
"55",0.126148633532935
"56",0.0968544118368497
"57",0.125651485507846
"58",0.205681248434641
"59",-0.0202743577369888
"60",0.0750210176952341
"61",0.0486105980961408
"62",0.0704084947215247
"63",0.0625460692673824
"64",0.0802123089643118
"65",0.128925158787936
"66",0.0906943111548387
"67",0.0461166827491462
"68",0.0653174635821231
"69",0.105581411962054
"70",0.135084693755848
"71",0.0305530315647534
"72",0.0880748524178227
"73",0.0871418883718093
"74",0.0884727949456397
"75",0.113991094004228
"76",0.13436481691106
"77",0.100690721584426
"78",0.12408628896486
"79",0.160945968541083
"80",0.16009716600264
"81",0.154059999078785
"82",0.19283482662646
"83",0.139648758777203
"84",0.0830829539787717
"85",0.138145126098538
"86",0.162015095142759
"87",0.165587718462157
"88",0.124082664178168
"89",0.101709182296084
"90",0.17620116421903
"91",0.207757078070448
"92",0.214429503452114
"93",0.240464354382959
"94",0.273137834750607
"95",0.131596722325568
"96",0.182245275634511
"97",0.175719503824575
"98",0.214632890016103
"99",0.162230022691707
"100",0.183039221405642
"101",0.215089391078473
"102",0.24623102613702
"103",0.259017379103161
"104",0.355392927175721
"105",0.289676025336158
"106",0.300027822635585
"107",0.15159967441605
"108",0.170687126304453
"109",0.227877804603572
"110",0.222253923193291
"111",0.242174929997222
"112",0.284720908020472
"113",0.232498679815523
"114",0.289265020968002
"115",0.302071710630315
"116",0.320961997917329
"117",0.394660074350637
"118",0.427979719838588
"119",0.246603661727567
"120",0.309228998599996
"121",0.312176713212817
"122",0.365852922200588
"123",0.315603604335815
"124",0.329404250408101
"125",0.310127808472405
"126",0.381546920100855
"127",0.42083370563144
"128",0.418544704758041
"129",0.496774867859875
"130",0.559259235917493
"131",0.337506009051846
"132",0.427788113230528
"133",0.451893986694781
"134",0.444290430656712
"135",0.435423251462033
"136",0.415635750245792
"137",0.526419064478952
"138",0.533741826962628
"139",0.503990903618026
"140",0.5752597778905
"141",0.662991279074083
"142",0.669228158803452
"143",0.449451937478036
"144",0.549589039084395
"145",0.503679643252387
"146",0.602559916708257
"147",0.551707140556671
"148",0.5261628812936
"149",0.65904093717041
"150",0.712517402993675
"151",0.768048505609787
"152",0.872371583774477
"153",0.932522547629112
"154",0.596297637036558
