"","meanImp","medianImp","minImp","maxImp","normHits","decision"
"Health_Consciousness_Rate",2.86444674434,2.94077403457954,0.669977231789581,4.44051267180388,0.767676767676768,"Confirmed"
"Sulphate_content",4.09422650504433,4.03342258967308,2.6825659241154,5.29827760607637,1,"Confirmed"
"Personal_Consumption_Expenditures",6.00246208119275,5.97142533886379,4.85192850672625,7.15062260577092,1,"Confirmed"
"Population_growth",6.10008764926878,6.07045539616229,4.34667938642112,7.15973689294539,1,"Confirmed"
"Consumer_Price_Index_Urban",6.13957708540396,6.1622234334446,4.75276409819628,7.61763915976921,1,"Confirmed"
"Total_Market_Size_Monthly",6.21945370531926,6.2024275877032,4.80453270202833,7.35100547331925,1,"Confirmed"
"Market_Share",8.60609513345508,8.55344611711721,7.54568236886716,9.65643026475765,1,"Confirmed"
"Price_Per_Unit",6.05758688740033,5.97851090007481,4.63275904133395,8.29544740550572,1,"Confirmed"
"Advertising_costs",3.74293545638445,3.76829602725036,1.24766250521699,5.65421938054865,0.909090909090909,"Confirmed"
"Number_of_Distributors",7.6878602004596,7.75593892440596,5.82838155164457,9.97371262311799,1,"Confirmed"
"Number_of_Retail_Locations",8.99970781573334,9.02152444514229,7.38148146917501,10.2981675196267,1,"Confirmed"
"Discount_Percentage",2.68394897962715,2.76310232207885,0.107949539361382,4.29115952597658,0.747474747474748,"Confirmed"
"Temperature",0.453709872644705,0.658615473222491,-1.3971384463455,1.52912260959806,0,"Rejected"
"NORTH_REGION",3.05915109127945,3.06565114524908,0.0904614229118729,5.40639540333429,0.737373737373737,"Confirmed"
